Name	University	Country	
Yannis Katsis	Chowan College	US	http://dbpedia.org/resource/Data_integration;http://dbpedia.org/resource/Computational_complexity_theory
Nikolaj Tatti	University of Anbar	IQ	http://dbpedia.org/resource/Data_mining;http://dbpedia.org/resource/Binary_data
Michael K. Reiter	University of North Carolina at Chapel Hill	US	http://dbpedia.org/resource/Distributed_System_Security_Architecture;http://dbpedia.org/resource/Distributed_application;http://dbpedia.org/resource/Load_balancing_(computing);http://dbpedia.org/resource/Intrusion_detection_system
Gunhee Kim	Carnegie Mellon University	US	http://dbpedia.org/resource/Region_of_interest;http://dbpedia.org/resource/Gene_expression;http://dbpedia.org/resource/Machine_learning;http://dbpedia.org/resource/In_vivo
Alexander Shen	Jaypee Institute of Information Technology	IN	http://dbpedia.org/resource/Complexity_measure
Robert J. Brunner	University of Illinois	US	http://dbpedia.org/resource/Data_analysis;http://dbpedia.org/resource/Power_spectrum;http://dbpedia.org/resource/Machine_learning
Lucian Popa	Swiss Management Center	CH	http://dbpedia.org/resource/Data_exchange;http://dbpedia.org/resource/Data_integration
Ankur Jain	University of Rajasthan	IN	http://dbpedia.org/resource/Sensor_networks;http://dbpedia.org/resource/Wireless_Sensor_Networks;http://dbpedia.org/resource/Image_processing;http://dbpedia.org/resource/Integrated_circuit
Alfred V. Aho	Columbia University	US	http://dbpedia.org/resource/Data_structure;http://dbpedia.org/resource/Pattern_matching;http://dbpedia.org/resource/Dynamic_programming
Bertram Ludascher	University of Calabria	IT	http://dbpedia.org/resource/Scientific_workflow_system;http://dbpedia.org/resource/Data_model
Sanjeev Mahajan	University of Milan	IT	http://dbpedia.org/resource/Semitendinosus_muscle;http://dbpedia.org/resource/Infinite_Game_Publishing;http://dbpedia.org/resource/Polynomial-time_approximation_scheme;http://dbpedia.org/resource/Semidefinite_programming
G. R. Putzolu	AISTEDA	RO	http://dbpedia.org/resource/Relational_approach_to_quantum_physics;http://dbpedia.org/resource/Database_management_system
